question,answer,retrieved_sources
Как добавить элемент в список?,Список в Python — это изменяемая упорядоченная коллекция элементов.,"doc_01, doc_01, doc_06"
В чем разница между remove и pop?,"Добавление — add(), удаление — remove() или discard(). Методы append() и extend() добавляют элементы, pop() удаляет по индексу.","doc_01, doc_12, doc_03"
Как сделать асинхронный запрос?,В найденном контексте нет достаточно релевантного фрагмента для уверенного ответа.,"doc_13, doc_13, doc_11"
Что такое декоратор? Приведите пример,"Декоратор — это функция, которая принимает другую функцию и расширяет её поведение.","doc_05, doc_12, doc_04"
Какой метод словаря возвращает все ключи?,"Ключи должны быть неизменяемыми (строки, числа, кортежи). Доступ к значению — через квадратные скобки или метод get().","doc_02, doc_02, doc_06"
Зачем нужен __init__ в классе?,"Метод __init__ инициализирует атрибуты экземпляра. dataclasses — декоратор и функция для автоматической генерации методов __init__, __repr__, __eq__.","doc_04, doc_15, doc_13"
Как оптимизировать цикл for для создания списка?,Генератор списков (list comprehension) — компактный способ создания списков. работает быстрее цикла for с append().,"doc_06, doc_06, doc_11"
Что такое GIL в Python?,asyncio — библиотека для асинхронного программирования в Python. Список в Python — это изменяемая упорядоченная коллекция элементов.,"doc_10, doc_01, doc_13"
Как работает сборщик мусора?,В найденном контексте нет достаточно релевантного фрагмента для уверенного ответа.,"doc_12, doc_05, doc_13"
Что делает @dataclass?,Импорт: from dataclasses import dataclass. Пример: @dataclass class Point: x: int; y: int.,"doc_15, doc_04, doc_05"
